id,Story,StoryText,user,fun,goal,nonfun
194,story 194,"As a user, I want to link my email account to my profile, so that I can get a temporary password in case I forget my own one.",user, link my email account , get a temporary password ,NULL
195,story 195,"As a user, I want to contact the administrators, so that I can give feedback orAsk for help.",user, contact the administrators, give feedback orAsk for ,NULL
196,story 196,"As an admin, I want to add recycling center information, so that I can keep the database up-to-date over time.",admin, add recycling center information, keep the database up-to-date ,NULL
197,story 197,"As an admin, I want to view user error logs, so that I can fix or review any issues that are being faced by users of the system.",admin, view user error logs, fix or review any ,NULL
198,story 198,"As an admin, I want to onboard recycling centers on the platform, so that I can increase information accuracy.",admin, onboard recycling centers on , increase information accuracy.,NULL
199,story 199,"As a superuser, I want to update the recycling center information, so that I can provide the latest information about the recycling center.",superuser, update the recycling center , provide the latest information ,NULL
200,story 200,"As a superuser, I want to view users' stats, so that I can view in real-time how many users have visited my recycling center information and their recyclable waste.",superuser, view users' stats, view in real-time how ,NULL
201,story 201,"As a superuser, I want to reply to user questions, so that I can answer any questions about my recycling center.",superuser, reply to user questions, answer any questions about ,NULL
202,story 202,"As an admin, I want to be able to have a dashboard that shows usage stats and locations, so that I can identify the neighbourhoods with the largest number of drop-offs and to try getting more facilities involved.",admin, be able to have , identify the neighbourhoods with ,NULL
203,story 203,"As an admin, I want to be able to communicate directly with facilities, so that I can keep them updated about features we have on our website.",admin, be able to communicate , keep them updated about ,NULL
204,story 204,"As a user, I want to be able to browse through the list of facolities and see which ones are environment-friendly, so that I can know for sure my waste is not going to leave a negative ecological footprint.",user, be able to browse , know for sure my ,NULL
205,story 205,"As a recyclingfacility representative, I want to be able to update my information and the type of material I accept, so that I can avoid any miscommunication with users.",recyclingfacility representative, be able to update , avoid any miscommunication with ,NULL
206,story 206,"As a recyclingfacility representative, I want to have access to user stats and schedules, so that I can adjust my hours and/or upgrade equipment and capacity in order to be able to accomodate larger amounts of recyclable materials.",recyclingfacility representative, have access to user , adjust my hours and/or ,NULL
207,story 207,"As a recyclingfacility, I want to be able to communicate directly with the site admin and convey any issues or concerns I have, so that they fix them.",recyclingfacility, be able to communicate , they fix them.,NULL
208,story 208,"As a Data Publishing User, I want to be able to edit a dataset I have published, So that I can correct or enhance existing data.",Data Publishing User, be able to edit , correct or enhance existing ,NULL
209,story 209,"As a Data Publishing User, I want to be able to edit the model of data I have already imported, So that I can fix bugs or make enhancements in the API built for my data.",Data Publishing User, be able to edit , fix bugs or make ,NULL
210,story 210,"As a Data Publishing User, I want to be able to delete a dataset I have published, So that I can remove unwanted data from OpenSpending.",Data Publishing User, be able to delete , remove unwanted data from ,NULL
211,story 211,"As a Platform Administrator, I want to be able to Hide any dataset already addedAs Public, So that I can maintain Public/Hidden status for other users.",Platform Administrator, be able to Hide , maintain Public/Hidden status for ,NULL
212,story 212,"As a Platform Administrator, I want to have a view on all datasets published by all users, So that I can perform management actions on any dataset.",Platform Administrator, have a view on , perform management actions on ,NULL
213,story 213,"As a Platform Administrator, I want to be able to delete any dataset published, So that I can deal with takedown requests, or clean up test datasets.",Platform Administrator, be able to delete ," deal with takedown requests, ",NULL
